URL,NAME,PRICES,RATING,REVIEWS
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-14,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,['899'],4.3 out of 5 stars,"5,925"
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-15,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",['699'],4.0 out of 5 stars,"4,022"
https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-16,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,"['698', '1,050']",4.1 out of 5 stars,"1,273"
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-17,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",['529'],3.9 out of 5 stars,"15,923"
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-18,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,['899'],3.9 out of 5 stars,"9,506"
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-19,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"['1,999']",4.5 out of 5 stars,"7,037"
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-20,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",['649'],4.4 out of 5 stars,"3,041"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjk0MTgzNjI4MDExNTk2OjE2ODUwMjI2NjM6c3BfYnRmOjIwMTEwMTgxNTEwOTk4OjowOjo&url=%2FMokobara-Backpack-Leather-Resistant-Laptop%2Fdp%2FB0B7X81X69%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022663%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women","['7,499']",4.5 out of 5 stars,51
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjk0MTgzNjI4MDExNTk2OjE2ODUwMjI2NjM6c3BfYnRmOjIwMTI0MzExMDI0ODk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022663%26sprefix%3Dba%252Caps%252C283%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","['1,600']",4.1 out of 5 stars,440
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTA0NDAyODY5MjE5NzI6MTY4NTAyMjY3NTpzcF9hdGZfbmV4dDoyMDExMDE4MTUxMTE5ODo6MDo6&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022675%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","['4,499']",4.3 out of 5 stars,168
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTA0NDAyODY5MjE5NzI6MTY4NTAyMjY3NTpzcF9hdGZfbmV4dDoyMDExNjg4MjE4MTA5ODo6MDo6&url=%2FRed-Lemon-Unisex-adult-Waterproof-Charging%2Fdp%2FB09VGNTDRZ%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022675%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging,"['1,999']",4.4 out of 5 stars,73
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-19,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),['599'],3.8 out of 5 stars,141
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-20,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"['1,099']",4.3 out of 5 stars,"5,589"
https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-21,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,['254'],3.7 out of 5 stars,"6,446"
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-22,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"['1,199']",4.0 out of 5 stars,"7,624"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-23,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",['598'],4.3 out of 5 stars,"10,922"
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-24,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,['988'],4.4 out of 5 stars,"5,702"
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-25,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",['799'],3.8 out of 5 stars,"2,708"
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-26,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,['749'],3.9 out of 5 stars,"2,764"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTA0NDAyODY5MjE5NzI6MTY4NTAyMjY3NTpzcF9tdGY6MjAwNjM3ODQ0NTgwOTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B68Z3X7D%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022675%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","['1,600']",4.1 out of 5 stars,440
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTA0NDAyODY5MjE5NzI6MTY4NTAyMjY3NTpzcF9tdGY6MjAxNjE2MTYyNjU2OTg6OjA6Og&url=%2FSPENZ-BAGS-Backpack-Raincover-Blue%2Fdp%2FB0C3RJP6ZM%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022675%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"SPENZ BAGS Travel Laptop Backpack for Women & Men | Fits15.6 Inch Laptop | Flight Approved Carry On Bag, College & School Students Bookbag With Raincover",['849'],5.0 out of 5 stars,24
https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-29,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,['834'],4.0 out of 5 stars,"5,572"
https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-30,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",['849'],4.3 out of 5 stars,"5,209"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-31,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,['497'],4.3 out of 5 stars,"12,760"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-32,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",['849'],4.0 out of 5 stars,600
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-33,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",['849'],3.9 out of 5 stars,849
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-34,ADISA Light Weight Laptop Backpack 32 Ltrs,['499'],4.0 out of 5 stars,"5,860"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-35,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",['425'],4.3 out of 5 stars,"12,760"
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1685022675&sprefix=ba%2Caps%2C283&sr=8-36,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,['899'],4.0 out of 5 stars,"11,072"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTA0NDAyODY5MjE5NzI6MTY4NTAyMjY3NTpzcF9idGY6MjAwNzg4ODM0MDgwOTg6OjA6Og&url=%2FMokobara-Backpack-Leather-Resistant-Laptop%2Fdp%2FB0B7X8BYQJ%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022675%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women","['7,499']",4.5 out of 5 stars,51
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTA0NDAyODY5MjE5NzI6MTY4NTAyMjY3NTpzcF9idGY6MjAxMTY4NzkxNzE4OTg6OjA6Og&url=%2FRed-Lemon-Polyester-15-6-inch-Waterproof%2Fdp%2FB07XYY2FW4%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022675%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Red Lemon Polyester Bange Series 15.6inch Laptop Bag for Men 35 LTR Capacity Daily Office Bag for Men and Women Black (1903),"['2,949']",4.2 out of 5 stars,170
